strain	accession	type	subtype	year	database
A/Victoria/110/2004	EPI_ISL_21139	A	H3N2	2004	GISAID
A/Victoria/1/1988	EPI_ISL_115700	A	H3N2	1988	GISAID
A/Victoria/1/1989	EPI_ISL_114399	A	H3N2	1989	GISAID
A/Victoria/208/2009	EPI_ISL_33598	A	H3N2	2009	GISAID
A/Victoria/210/2009	EPI_ISL_33814	A	H3N2	2009	GISAID
A/Victoria/2/1990	EPI_ISL_114456	A	H3N2	1990	GISAID
A/Victoria/3/1975	V01098	A	H3N2	1975	IRD
A/Victoria/33/1992	EPI_ISL_110998	A	H3N2	1992	GISAID
A/Victoria/500/2004	EPI_ISL_12069	A	H3N2	2004	GISAID
A/Victoria/503/2006	EPI_ISL_13265	A	H3N2	2006	GISAID
A/Victoria/523/2004	EPI_ISL_12064	A	H3N2	2004	GISAID
A/Victoria/7/1987	AF008888	A	H3N2	1987	IRD
A/Victoria/75/1995	EPI_ISL_111220	A	H3N2	1995	GISAID
A/Waikato/1/1989	EPI_ISL_114401	A	H3N2	1989	GISAID
A/Washington/1/2004	EPI_ISL_11522	A	H3N2	2004	GISAID
A/Wellington/1/2004	CY121480	A	H3N2	2004	IRD
A/Wellington/3/1990	EPI_ISL_114457	A	H3N2	1990	GISAID
A/Wellington/4/1985	EPI_ISL_114250	A	H3N2	1985	GISAID
A/Wellington/5/1989	EPI_ISL_114400	A	H3N2	1989	GISAID
A/Wisconsin/13/2010	EPI_ISL_86092	A	H3N2	2010	GISAID
A/Wisconsin/15/2009	CY121041	A	H3N2	2009	IRD
A/Wisconsin/19/2004	EPI_ISL_21255	A	H3N2	2004	GISAID
A/Wisconsin/3/2007	CY121528	A	H3N2	2007	IRD
A/Wisconsin/67/2005	EPI_ISL_115646	A	H3N2	2005	GISAID
A/Wisconsin/68/2005	EPI_ISL_17572	A	H3N2	2005	GISAID
A/Wuhan/359/1995	CY112821	A	H3N2	1995	IRD
A/Wyoming/0049/2005	EPI_ISL_18160	A	H3N2	2005	GISAID
A/Wyoming/1/2006	EPI_ISL_17823	A	H3N2	2006	GISAID
A/Wyoming/2/2003	EF473602	A	H3N2	2003	IRD
A/Wyoming/3/2003	EPI_ISL_3767	A	H3N2	2003	GISAID
A/Yamagata/56/1993	EPI_ISL_115412	A	H3N2	1993	GISAID
A/Yamagata/61/1993	EPI_ISL_115413	A	H3N2	1993	GISAID
A/Yamagata/62/1993	CY112693	A	H3N2	1993	IRD
